"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber"
0,23,11,0,0,1,3,5,0,0,0,0,0,0,1,0,4,0,1,0,0,49,379
0,20,14,0,0,0,2,6,0,0,0,0,0,0,2,0,1,0,1,0,0,46,380
2,20,14,0,1,0,4,3,0,0,0,0,0,0,11,0,3,0,3,0,0,61,381
1,21,21,0,1,2,3,3,0,3,0,0,1,0,21,0,3,0,4,0,0,84,382
2,23,18,1,0,0,4,1,1,3,0,0,0,2,18,0,0,0,3,0,0,76,383
1,24,18,1,1,0,3,2,0,5,0,0,0,1,23,0,1,0,0,0,0,80,384
0,13,11,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,31,385
0,9,6,2,0,0,3,1,0,0,0,0,0,0,13,0,0,0,0,0,0,34,386
0,10,7,0,0,0,3,1,0,1,0,0,0,0,13,0,0,0,0,0,0,35,387
0,10,7,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,29,388
0,16,11,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,32,389
0,17,8,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,390
1,16,11,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,391
1,17,8,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,392
0,10,11,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,28,393
2,9,9,0,0,0,3,1,0,0,0,0,0,0,14,0,0,0,1,0,0,39,394
2,11,14,0,0,1,2,2,0,0,0,0,0,0,12,0,0,0,1,0,0,45,395
1,11,13,0,0,0,1,3,0,0,0,0,0,0,17,0,0,0,1,0,0,47,396
1,9,9,0,0,0,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,38,397
0,8,6,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,398
0,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,399
0,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,400
0,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,401
