"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","dataset","portalcasting_version","QAQC","notes"
247,12,"2020-01-03",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
248,12,"2020-01-03",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
249,12,"2020-01-03",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
250,12,"2020-01-03",217,526,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
251,12,"2020-01-03",217,526,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
252,12,"2020-01-03",217,526,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
253,12,"2020-01-03",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
254,12,"2020-01-03",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
255,12,"2020-01-03",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
256,12,"2020-01-03",217,526,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
257,12,"2020-01-03",217,526,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
258,12,"2020-01-03",217,526,12,"nbGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
259,12,"2020-01-03",217,526,12,"nbsGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
260,12,"2020-01-03",217,526,12,"nbsGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
261,12,"2020-01-03",217,526,12,"nbsGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
262,12,"2020-01-03",217,526,12,"pevGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
263,12,"2020-01-03",217,526,12,"pevGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
264,12,"2020-01-03",217,526,12,"pevGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
265,12,"2020-01-03",217,526,12,"simplexEDM","all","0.15.1",TRUE,"model fit on interpolated data"
266,12,"2020-01-03",217,526,12,"simplexEDM","controls","0.15.1",TRUE,"model fit on interpolated data"
267,12,"2020-01-03",217,526,12,"simplexEDM","exclosures","0.15.1",TRUE,"model fit on interpolated data"
268,13,"2020-01-09",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
269,13,"2020-01-09",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
270,13,"2020-01-09",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
271,13,"2020-01-09",217,526,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
272,13,"2020-01-09",217,526,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
273,13,"2020-01-09",217,526,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
274,13,"2020-01-09",217,526,12,"jags_RW","all","0.15.1",TRUE,NA
275,13,"2020-01-09",217,526,12,"jags_RW","controls","0.15.1",TRUE,NA
276,13,"2020-01-09",217,526,12,"jags_RW","exclosures","0.15.1",TRUE,NA
277,13,"2020-01-09",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
278,13,"2020-01-09",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
279,13,"2020-01-09",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
280,13,"2020-01-09",217,526,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
281,13,"2020-01-09",217,526,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
