"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2019-10-18","abundance","pevGARCH","All","BA",747.57448001165,217,523,523
"2019-10-18","abundance","pevGARCH","All","DM",2020.26673475111,217,523,523
"2019-10-18","abundance","pevGARCH","All","DO",1707.58619737673,217,523,523
"2019-10-18","abundance","pevGARCH","All","DS",349.371071139165,217,523,523
"2019-10-18","abundance","pevGARCH","All","NA",997.127577994359,217,523,523
"2019-10-18","abundance","pevGARCH","All","OL",923.422351627686,217,523,523
"2019-10-18","abundance","pevGARCH","All","OT",1690.96829849554,217,523,523
"2019-10-18","abundance","pevGARCH","All","PB",2247.40664256885,217,523,523
"2019-10-18","abundance","pevGARCH","All","PE",1400.81120513572,217,523,523
"2019-10-18","abundance","pevGARCH","All","PF",1294.14222908505,217,523,523
"2019-10-18","abundance","pevGARCH","All","PH",113.050943686062,217,523,523
"2019-10-18","abundance","pevGARCH","All","PL",450.657357137733,217,523,523
"2019-10-18","abundance","pevGARCH","All","PM",881.97272151342,217,523,523
"2019-10-18","abundance","pevGARCH","All","PP",5086.48919546455,217,523,523
"2019-10-18","abundance","pevGARCH","All","RF",64.4870847222803,217,523,523
"2019-10-18","abundance","pevGARCH","All","RM",1369.58290890607,217,523,523
"2019-10-18","abundance","pevGARCH","All","RO",325.896888920727,217,523,523
"2019-10-18","abundance","pevGARCH","All","SF",667.049512387603,217,523,523
"2019-10-18","abundance","pevGARCH","All","SH",699.602884988942,217,523,523
"2019-10-18","abundance","pevGARCH","All","SO",16.9925601378736,217,523,523
"2019-10-18","abundance","pevGARCH","All","total",4278.93996612425,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","BA",319.610683244267,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","DM",1640.57981612405,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","DO",1046.65103738518,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","DS",218.098386097347,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","NA",215.849850669059,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","OL",451.97907150369,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","OT",1046.11978827399,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","PB",846.741328864082,217,523,523
"2019-10-18","abundance","pevGARCH","Controls","PE",398.273465938845,217,523,523
