"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","data_set","portalcasting_version","QAQC","notes"
198,9,"2019-12-20",217,525,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
199,9,"2019-12-20",217,525,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
200,9,"2019-12-20",217,525,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
201,9,"2019-12-20",217,525,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
202,10,"2019-12-27",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
203,10,"2019-12-27",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
204,10,"2019-12-27",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
205,10,"2019-12-27",217,526,12,"ESSS","all_interp","0.15.1",TRUE,NA
206,10,"2019-12-27",217,526,12,"ESSS","controls_interp","0.15.1",TRUE,NA
207,10,"2019-12-27",217,526,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
208,10,"2019-12-27",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
209,10,"2019-12-27",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
210,10,"2019-12-27",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
211,10,"2019-12-27",217,526,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
212,10,"2019-12-27",217,526,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
213,10,"2019-12-27",217,526,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
214,10,"2019-12-27",217,526,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
215,10,"2019-12-27",217,526,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
216,10,"2019-12-27",217,526,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
217,10,"2019-12-27",217,526,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
218,10,"2019-12-27",217,526,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
219,10,"2019-12-27",217,526,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
220,10,"2019-12-27",217,526,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
221,10,"2019-12-27",217,526,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
222,10,"2019-12-27",217,526,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
223,11,"2020-01-02",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
224,11,"2020-01-02",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
225,11,"2020-01-02",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
226,11,"2020-01-02",217,526,12,"ESSS","all_interp","0.15.1",TRUE,NA
227,11,"2020-01-02",217,526,12,"ESSS","controls_interp","0.15.1",TRUE,NA
228,11,"2020-01-02",217,526,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
