"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","OT",12.457,0,57.98,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","OT",13.397,0,64.401,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","OT",14.296,0,70.485,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","OT",15.518,0,81.058,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","PB",0.342,0.254,0.445,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","PB",0.342,0.251,0.444,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","PB",0.342,0.251,0.445,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","PB",0.342,0.249,0.445,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","PB",0.342,0.247,0.444,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","PB",0.342,0.246,0.443,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","PB",0.342,0.248,0.445,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","PB",0.342,0.25,0.449,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","PB",0.342,0.243,0.443,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","PB",0.342,0.245,0.445,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","PB",0.342,0.245,0.446,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","PB",0.342,0.241,0.444,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","PB",0.342,0.243,0.446,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","PB",0.342,0.242,0.447,217,525,74,4,0.95
