"cast_date","cast_month","cast_year","moon","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PF",0.619690021260565,0,4,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","PF",0.555186218788392,0,3,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","PF",0.497142160597633,0,3,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","PF",0.459483593406704,0,3,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","PF",0.446076834081221,0,2,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","PF",0.457447892096921,0,3,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0197049000426666,0,0,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0191124880159088,0,0,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0139757402076735,0,0,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00988532384151269,0,0,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00678825093416344,0,0,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00490882977785923,0,0,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00432906063438755,0,0,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00453678451578557,0,0,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","PL",0.00577053136506361,0,0,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0082020592310161,0,0,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0116864926958229,0,0,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","PL",0.0162914574797708,0,0,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","PL",0.019675697698629,0,0,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","PM",0.142995237328648,0,1,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","PM",0.186364899625224,0,2,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","PM",0.21107577037741,0,1,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","PM",0.220765612163011,0,2,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","PM",0.212735062327451,0,2,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","PM",0.189801727536069,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","PM",0.162876294220015,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PM",0.138889253343184,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","PM",0.123429186512592,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","PM",0.117283566896923,0,1,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","PM",0.120506480782865,0,1,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","PM",0.133102846014212,0,1,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","PM",0.153592326156862,0,1,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","PP",4.12359711282941,0,11,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","PP",8.18859012239615,0,26,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","PP",14.4315406859714,0,56,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","PP",21.7850468185497,1,87,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","PP",27.3263979723913,1,110,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","PP",27.4097844508471,1,118,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","PP",23.0271293690268,0,99,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","PP",17.4711170249938,0,75,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","PP",12.9197316252527,0,49,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","PP",10.1241433568097,0,37,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","PP",8.47815210297735,0,28,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","PP",7.73330700441397,0,28,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","PP",9.26149733374428,0,31,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","RM",2.35025501427711,0,14,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","RM",1.0618867715423,0,8,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","RM",0.386261251535254,0,3,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","RM",0.150281896363774,0,1,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","RM",0.0833531093033414,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","RM",0.065296296531448,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","RM",0.070713710727802,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","RM",0.101418605982664,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","RM",0.173756741907003,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","RM",0.32324804925592,0,3,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","RM",0.56316256411701,0,4,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","RM",0.839446598660165,0,6,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","RM",0.944250534075124,0,6,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00408783063626956,0,0,217,566,3179
